Season,Transplant,Growth,Harvest,'Products name','Crops Type','Normalized Max Temp','Normalized Min Temp','Normalized Min RH','Normalized Max RH',Cluster
'Kharif 2',Oct,'Nov to Aug','Aug to Sep','Suger Can',Fruits,0.766667,0.681818,0.384615,0.727273,D
'Kharif 2',Sep,'Oct to Feb',March,Jujube,Fruits,0.333333,0.454545,0.615385,0.636364,C
'Kharif 2',Sep,'Sep to May','June to Aug','Pine Apple',Fruits,0.666667,0.590909,0.769231,0.636364,B
'Kharif 2',Aug,'Sep to Jan',Jan,Tomato,Vegetables,0.5,0.590909,0.923077,0.818182,D
'Kharif 2',Oct,'Nov to Feb',March,'Yardlong Bean',Vegetables,0.4,0.727273,0.769231,0.636364,D
'Kharif 2',Oct,'Nov to Jan',Feb,Garlic,Vegetables,0.5,0.681818,0.692308,0.454545,D
'Kharif 2',Oct,'Nov to Jan',Feb,Coriander(Dhonia),Vegetables,0.2,0.590909,0.846154,0.727273,D
'Kharif 2',Aug,'Sep to Jan',Feb,Spinach,Vegetables,0.5,0.318182,0.692308,0.545455,D
'Kharif 2',Oct,'Dec to Feb','Feb to April',Barley,Cereals,0.333333,0.318182,0.923077,0.909091,D
'Kharif 2',Sep,'Oct to Feb','Feb to April','Sunn Hemp 2','Oil Seeds',0.4,0.590909,0.461538,0.727273,D
'Kharif 2',Aug,'Sep to Feb','Feb to April','Cotton 2',Fibre,0.5,0.590909,0.353846,0.563636,D
'Kharif 2',Oct,'Nov  to  Jan',Feb,RapeSeed,'Oil Seeds',0.333333,0.227273,0.769231,0.909091,D
'Kharif 2',Sep,'Oct to Dec',Dec,'Teel 2',Vegetables,0.5,0.681818,0.461538,0.727273,D
'Kharif 2',Oct,'Nov to March','March to May',Linseed,Vegetables,0.5,0.454545,0.461538,0.454545,D
'Kharif 2',Sep,'Oct to Dec','December to April',Barbati,Vegetables,0.5,0.681818,0.615385,0.727273,D
'Kharif 2',Oct,'Nov to Feb','Feb to April',Kheshari,Vegetables,0.333333,0.227273,0,0,D
'Kharif 2',Oct,'Nov to March','March to April','Motor(Field Pea)',Vegetables,0.5,0.454545,0.846154,0.818182,D
'Kharif 2',Oct,'Nov to Feb','Feb to April',Tobacco,Nicotine,0.166667,0.454545,0.461538,0.727273,D
'Kharif 2',Sep,'Oct to Dec','Dec to Feb','Oal Kapi(Knol Khol)',Vegetables,0.566667,0.454545,0.492308,0.454545,D
'Kharif 2',Sep,'Oct to Nov','Nov to Feb',Shalgam(Turnip),Vegetables,0.3,0,0.769231,0.909091,D
'Kharif 2',Sep,'Oct to Dec','Dec to April',Beetroot,Vegetables,0.3,0,0.769231,0.818182,D
'Kharif 2',Oct,'Nov to Dec','Dec to Feb',Lettuce,Vegetables,0.3,0.090909,0.461538,0.454545,D
'Kharif 2',July,'Aug to Jan','Jan to March','Water Gourd',Vegetables,0.666667,0.590909,0.846154,0.727273,D
'Kharif 2',Aug,'Sep to Jan','Jan to March',Patal,Vegetables,0.666667,0.681818,0.615385,0.727273,D
'Kharif 2',Oct,'Nov to Feb','Feb to June','Water Melon',Fruits,0.6,0.227273,0.692308,0.636364,D
'Kharif 2',Oct,'Nov to Feb','Feb to June',Melon,Fruits,0.6,0.227273,0.692308,0.636364,D
'Kharif 2',Oct,'Nov to Feb','Feb to June','Kharmuj(Musk Melon)',Fruits,0.6,0.227273,0.692308,0.636364,D
'Kharif 2',Sep,'No need to do','April to June','Litchi 2',Fruits,0.433333,0.045455,0.769231,0.727273,B
'Kharif 2',Sep,'No need to do','April to June','Mango 2',Fruits,0.7,1,0.461538,0.818182,B
'Kharif 2',Sep,'No need to do','April to June','Jackfruit 2',Fruits,1.066667,0.772727,0.769231,0.909091,B
'Kharif 2',Sep,'No need to do','May to June','Pomelo 2',Fruits,0.5,0.909091,0.769231,0.818182,B
'Kharif 2',Sep,'No need to do','Throuout The year','Dalim(Pomegranate) 2',Fruits,0.766667,0,0.769231,0.909091,B
'Kharif 2',Sep,'No need to do','Feb to March','Ber 2',Fruits,0.5,0.681818,0.615385,0.727273,B
